DeviceSerialNumber,SensorType,Unit,Status,Date,Value
FH21101005,pH,pH,Good,2021-12-01T0:00,7
FH21101005,TVOC,ppm,Good,2021-12-01T0:00,43
FH21101005,Light,Lux,Good,2021-12-01T0:00,466
FH21101005,Temperature,oC,Good,2021-12-01T0:00,25
FH21101006,TVOC,ppm,Good,2021-12-01T0:00,42
FH21101006,Humidity,%,Good,2021-12-01T0:00,71
FH21101005,Velocity,m/s,Good,2021-12-01T0:00,1
FH21101006,Velocity,m/s,Good,2021-12-01T0:00,1
FH21101006,Temperature,oC,Good,2021-12-01T0:00,27
FH21101005,Humidity,%,Good,2021-12-01T0:00,72
FH21101007,pH,pH,Good,2021-12-01T0:00,7
FH21101007,Temperature,oC,Good,2021-12-01T0:00,27
FH21101008,Humidity,%,Good,2021-12-01T0:00,68
FH21101006,pH,pH,Good,2021-12-01T0:00,6
FH21101007,Humidity,%,Good,2021-12-01T0:00,70
FH21101006,Light,Lux,Good,2021-12-01T0:00,389
FH21101007,TVOC,ppm,Good,2021-12-01T0:00,42
FH21101007,Velocity,m/s,Good,2021-12-01T0:00,1
FH21101007,Light,Lux,Good,2021-12-01T0:00,596
FH21101008,Temperature,oC,Good,2021-12-01T0:00,26
FH21101008,Velocity,m/s,Good,2021-12-01T0:00,1
CA21101007-01,Temperature,oC,Good,2021-12-01T0:00,25
CA21101007-01,Light,Lux,Good,2021-12-01T0:00,465
CA21101007-01,pH,pH,Good,2021-12-01T0:00,5
FH21101008,pH,pH,Good,2021-12-01T0:00,5
FH21101008,TVOC,ppm,Good,2021-12-01T0:00,57
FH21101008,Light,Lux,Good,2021-12-01T0:00,412
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:00,54
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:00,0
CA21101008-02,Light,Lux,Good,2021-12-01T0:00,321
CA21101009-03,Velocity,m/s,Good,2021-12-01T0:00,0
CA21101007-01,Humidity,%,Good,2021-12-01T0:00,73
CA21101009-03,Humidity,%,Good,2021-12-01T0:00,71
CA21101009-03,Temperature,oC,Good,2021-12-01T0:00,25
CA21101008-02,Velocity,m/s,Good,2021-12-01T0:00,0
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:00,37
