Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-25T10:00,CH20211110,Humidity,42.8,%,good
2021-12-25T10:05,CH20211110,Humidity,42.8,%,good
2021-12-25T10:10,CH20211110,Humidity,42.7,%,good
2021-12-25T10:15,CH20211110,Humidity,42.8,%,good
2021-12-25T10:20,CH20211110,Humidity,42.8,%,good
2021-12-25T10:25,CH20211110,Humidity,42.7,%,good
2021-12-25T10:30,CH20211110,Humidity,42.8,%,good
2021-12-25T10:35,CH20211110,Humidity,42.9,%,good
2021-12-25T10:40,CH20211110,Humidity,42.9,%,good
2021-12-25T10:45,CH20211110,Humidity,42.9,%,good
2021-12-25T10:50,CH20211110,Humidity,43,%,good
2021-12-25T10:55,CH20211110,Humidity,43.2,%,good
2021-12-25T11:00,CH20211110,Humidity,43.4,%,good
2021-12-25T11:05,CH20211110,Humidity,43.6,%,good
2021-12-25T11:10,CH20211110,Humidity,43.5,%,good
2021-12-25T11:15,CH20211110,Humidity,43.5,%,good
2021-12-25T11:20,CH20211110,Humidity,43.3,%,good
2021-12-25T11:25,CH20211110,Humidity,43.3,%,good
2021-12-25T11:30,CH20211110,Humidity,43.2,%,good
2021-12-25T11:35,CH20211110,Humidity,43.2,%,good
2021-12-25T11:40,CH20211110,Humidity,43,%,good
2021-12-25T11:45,CH20211110,Humidity,43,%,good
2021-12-25T11:50,CH20211110,Humidity,42.9,%,good
2021-12-25T11:55,CH20211110,Humidity,42.8,%,good
2021-12-25T12:00,CH20211110,Humidity,42.8,%,good
2021-12-25T12:05,CH20211110,Humidity,42.9,%,good
2021-12-25T12:10,CH20211110,Humidity,43.1,%,good
2021-12-25T12:15,CH20211110,Humidity,43.2,%,good
2021-12-25T12:20,CH20211110,Humidity,43.1,%,good
2021-12-25T12:25,CH20211110,Humidity,43.1,%,good
2021-12-25T12:30,CH20211110,Humidity,43,%,good
2021-12-25T12:35,CH20211110,Humidity,43.7,%,good
2021-12-25T12:40,CH20211110,Humidity,43.9,%,good
2021-12-25T12:45,CH20211110,Humidity,43.6,%,good
2021-12-25T12:50,CH20211110,Humidity,43.6,%,good
2021-12-25T12:55,CH20211110,Humidity,43.6,%,good
2021-12-25T13:00,CH20211110,Humidity,43.8,%,good
2021-12-25T13:05,CH20211110,Humidity,43.8,%,good
2021-12-25T13:10,CH20211110,Humidity,43.9,%,good
2021-12-25T13:15,CH20211110,Humidity,44,%,good
2021-12-25T13:20,CH20211110,Humidity,44.1,%,good
2021-12-25T13:25,CH20211110,Humidity,44.2,%,good
2021-12-25T13:30,CH20211110,Humidity,44.2,%,good
2021-12-25T13:35,CH20211110,Humidity,44.1,%,good
2021-12-25T13:40,CH20211110,Humidity,44,%,good
2021-12-25T13:45,CH20211110,Humidity,43.8,%,good
2021-12-25T13:50,CH20211110,Humidity,43.7,%,good
2021-12-25T13:55,CH20211110,Humidity,43.6,%,good
2021-12-25T14:00,CH20211110,Humidity,43.5,%,good
2021-12-25T14:05,CH20211110,Humidity,43.3,%,good
2021-12-25T14:10,CH20211110,Humidity,43.4,%,good
2021-12-25T14:15,CH20211110,Humidity,43.3,%,good
2021-12-25T14:20,CH20211110,Humidity,43.4,%,good
2021-12-25T14:25,CH20211110,Humidity,43.4,%,good
2021-12-25T14:30,CH20211110,Humidity,43.5,%,good
2021-12-25T14:35,CH20211110,Humidity,43.7,%,good
2021-12-25T14:40,CH20211110,Humidity,43.9,%,good
2021-12-25T7:25,CH20211110,Humidity,44.1,%,good
2021-12-25T7:30,CH20211110,Humidity,44.1,%,good
2021-12-25T7:35,CH20211110,Humidity,44,%,good
2021-12-25T7:45,CH20211110,Humidity,43.8,%,good
2021-12-25T7:50,CH20211110,Humidity,43.9,%,good
2021-12-25T7:55,CH20211110,Humidity,44,%,good
2021-12-25T8:00,CH20211110,Humidity,44.2,%,good
2021-12-25T8:05,CH20211110,Humidity,44.2,%,good
2021-12-25T8:10,CH20211110,Humidity,44.1,%,good
2021-12-25T8:15,CH20211110,Humidity,44.1,%,good
2021-12-25T8:20,CH20211110,Humidity,43.9,%,good
2021-12-25T8:25,CH20211110,Humidity,43.9,%,good
2021-12-25T8:30,CH20211110,Humidity,43.8,%,good
2021-12-25T8:35,CH20211110,Humidity,43.9,%,good
2021-12-25T8:40,CH20211110,Humidity,43.8,%,good
2021-12-25T8:45,CH20211110,Humidity,43.8,%,good
2021-12-25T8:50,CH20211110,Humidity,43.6,%,good
2021-12-25T8:55,CH20211110,Humidity,43.6,%,good
2021-12-25T9:00,CH20211110,Humidity,43.6,%,good
2021-12-25T9:05,CH20211110,Humidity,43.6,%,good
2021-12-25T9:10,CH20211110,Humidity,43.6,%,good
2021-12-25T9:15,CH20211110,Humidity,43.5,%,good
2021-12-25T9:20,CH20211110,Humidity,43.3,%,good
2021-12-25T9:25,CH20211110,Humidity,43.3,%,good
2021-12-25T9:30,CH20211110,Humidity,43.2,%,good
2021-12-25T9:35,CH20211110,Humidity,43,%,good
2021-12-25T9:40,CH20211110,Humidity,42.9,%,good
2021-12-25T9:45,CH20211110,Humidity,42.9,%,good
2021-12-25T9:50,CH20211110,Humidity,42.8,%,good
2021-12-25T9:55,CH20211110,Humidity,42.8,%,good
2021-12-26T2:45,CH20211110,Humidity,45,%,good
2021-12-26T2:50,CH20211110,Humidity,45.1,%,good
2021-12-26T2:55,CH20211110,Humidity,44.9,%,good
2021-12-26T3:00,CH20211110,Humidity,45,%,good
2021-12-26T3:05,CH20211110,Humidity,45.4,%,good
2021-12-26T3:10,CH20211110,Humidity,46.1,%,good
2021-12-26T3:15,CH20211110,Humidity,46.3,%,good
2021-12-26T3:20,CH20211110,Humidity,46.3,%,good
2021-12-26T3:25,CH20211110,Humidity,46.3,%,good
2021-12-26T3:30,CH20211110,Humidity,46.2,%,good
2021-12-26T3:35,CH20211110,Humidity,46.1,%,good
2021-12-26T3:40,CH20211110,Humidity,46,%,good
2021-12-26T3:45,CH20211110,Humidity,46.1,%,good
2021-12-26T3:50,CH20211110,Humidity,46.1,%,good
2021-12-26T3:55,CH20211110,Humidity,46.2,%,good
2021-12-26T4:00,CH20211110,Humidity,46.1,%,good
2021-12-26T4:05,CH20211110,Humidity,46.1,%,good
2021-12-25T10:00,CH20211110,Light,75,Lux,good
2021-12-25T10:05,CH20211110,Light,71,Lux,good
2021-12-25T10:10,CH20211110,Light,64,Lux,good
2021-12-25T10:15,CH20211110,Light,59,Lux,good
2021-12-25T10:20,CH20211110,Light,56,Lux,good
2021-12-25T10:25,CH20211110,Light,53,Lux,good
2021-12-25T10:30,CH20211110,Light,52,Lux,good
2021-12-25T10:35,CH20211110,Light,51,Lux,good
2021-12-25T10:40,CH20211110,Light,50,Lux,good
2021-12-25T10:45,CH20211110,Light,50,Lux,good
2021-12-25T10:50,CH20211110,Light,50,Lux,good
2021-12-25T10:55,CH20211110,Light,50,Lux,good
2021-12-25T11:00,CH20211110,Light,50,Lux,good
2021-12-25T11:05,CH20211110,Light,50,Lux,good
2021-12-25T11:10,CH20211110,Light,50,Lux,good
2021-12-25T11:15,CH20211110,Light,50,Lux,good
2021-12-25T11:20,CH20211110,Light,50,Lux,good
2021-12-25T11:25,CH20211110,Light,50,Lux,good
2021-12-25T11:30,CH20211110,Light,50,Lux,good
2021-12-25T11:35,CH20211110,Light,50,Lux,good
2021-12-25T11:40,CH20211110,Light,50,Lux,good
2021-12-25T11:45,CH20211110,Light,50,Lux,good
2021-12-25T11:50,CH20211110,Light,50,Lux,good
2021-12-25T11:55,CH20211110,Light,50,Lux,good
2021-12-25T12:00,CH20211110,Light,50,Lux,good
2021-12-25T12:05,CH20211110,Light,50,Lux,good
2021-12-25T12:10,CH20211110,Light,50,Lux,good
2021-12-25T12:15,CH20211110,Light,50,Lux,good
2021-12-25T12:20,CH20211110,Light,50,Lux,good
2021-12-25T12:25,CH20211110,Light,50,Lux,good
2021-12-25T12:30,CH20211110,Light,50,Lux,good
2021-12-25T12:35,CH20211110,Light,50,Lux,good
2021-12-25T12:40,CH20211110,Light,50,Lux,good
2021-12-25T12:45,CH20211110,Light,50,Lux,good
2021-12-25T12:50,CH20211110,Light,50,Lux,good
2021-12-25T12:55,CH20211110,Light,50,Lux,good
2021-12-25T13:00,CH20211110,Light,50,Lux,good
2021-12-25T13:05,CH20211110,Light,50,Lux,good
2021-12-25T13:10,CH20211110,Light,50,Lux,good
2021-12-25T13:15,CH20211110,Light,50,Lux,good
2021-12-25T13:20,CH20211110,Light,50,Lux,good
2021-12-25T13:25,CH20211110,Light,50,Lux,good
2021-12-25T13:30,CH20211110,Light,50,Lux,good
2021-12-25T13:35,CH20211110,Light,50,Lux,good
2021-12-25T13:40,CH20211110,Light,50,Lux,good
2021-12-25T13:45,CH20211110,Light,50,Lux,good
2021-12-25T13:50,CH20211110,Light,50,Lux,good
2021-12-25T13:55,CH20211110,Light,50,Lux,good
2021-12-25T14:00,CH20211110,Light,50,Lux,good
2021-12-25T14:05,CH20211110,Light,50,Lux,good
2021-12-25T14:10,CH20211110,Light,50,Lux,good
2021-12-25T14:15,CH20211110,Light,50,Lux,good
2021-12-25T14:20,CH20211110,Light,50,Lux,good
2021-12-25T14:25,CH20211110,Light,48,Lux,good
2021-12-25T14:30,CH20211110,Light,48,Lux,good
2021-12-25T14:35,CH20211110,Light,48,Lux,good
2021-12-25T14:40,CH20211110,Light,48,Lux,good
2021-12-25T7:25,CH20211110,Light,80,Lux,good
2021-12-25T7:30,CH20211110,Light,81,Lux,good
2021-12-25T7:35,CH20211110,Light,82,Lux,good
2021-12-25T7:45,CH20211110,Light,100,Lux,good
2021-12-25T7:50,CH20211110,Light,110,Lux,good
2021-12-25T7:55,CH20211110,Light,115,Lux,good
2021-12-25T8:00,CH20211110,Light,118,Lux,good
2021-12-25T8:05,CH20211110,Light,120,Lux,good
2021-12-25T8:10,CH20211110,Light,120,Lux,good
2021-12-25T8:15,CH20211110,Light,121,Lux,good
2021-12-25T8:20,CH20211110,Light,121,Lux,good
2021-12-25T8:25,CH20211110,Light,121,Lux,good
2021-12-25T8:30,CH20211110,Light,121,Lux,good
2021-12-25T8:35,CH20211110,Light,121,Lux,good
2021-12-25T8:40,CH20211110,Light,120,Lux,good
