Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-11-29 15:35,FH21101008,Humidity,72,%,Good
2021-11-29 15:40,FH21101008,Humidity,72,%,Good
2021-11-29 15:45,FH21101008,Humidity,74,%,Good
2021-11-29 15:50,FH21101008,Humidity,74,%,Good
2021-11-29 15:55,FH21101008,Humidity,71,%,Good
2021-11-29 16:00,FH21101008,Humidity,71,%,Good
2021-11-29 16:05,FH21101008,Humidity,74,%,Good
2021-11-29 16:10,FH21101008,Humidity,73,%,Good
2021-11-29 16:15,FH21101008,Humidity,71,%,Good
2021-11-29 16:20,FH21101008,Humidity,73,%,Good
2021-11-29 16:25,FH21101008,Humidity,74,%,Good
2021-11-29 16:30,FH21101008,Humidity,69,%,Good
2021-11-29 16:35,FH21101008,Humidity,71,%,Good
2021-11-29 16:40,FH21101008,Humidity,69,%,Good
2021-11-29 16:45,FH21101008,Humidity,71,%,Good
2021-11-29 16:50,FH21101008,Humidity,71,%,Good
2021-11-29 16:55,FH21101008,Humidity,70,%,Good
2021-11-29 17:00,FH21101008,Humidity,73,%,Good
2021-11-29 17:05,FH21101008,Humidity,71,%,Good
2021-11-29 17:10,FH21101008,Humidity,68,%,Good
2021-11-29 17:15,FH21101008,Humidity,71,%,Good
2021-11-29 17:20,FH21101008,Humidity,72,%,Good
2021-11-29 17:25,FH21101008,Humidity,74,%,Good
2021-11-29 17:30,FH21101008,Humidity,74,%,Good
2021-11-29 17:35,FH21101008,Humidity,73,%,Good
2021-11-29 17:40,FH21101008,Humidity,74,%,Good
2021-11-29 17:45,FH21101008,Humidity,73,%,Good
2021-11-29 17:50,FH21101008,Humidity,74,%,Good
2021-11-29 17:55,FH21101008,Humidity,72,%,Good
2021-11-29 18:00,FH21101008,Humidity,71,%,Good
2021-11-29 18:05,FH21101008,Humidity,73,%,Good
2021-11-29 18:10,FH21101008,Humidity,69,%,Good
2021-11-29 18:15,FH21101008,Humidity,75,%,Good
2021-11-29 18:20,FH21101008,Humidity,71,%,Good
2021-11-29 18:25,FH21101008,Humidity,73,%,Good
2021-11-29 18:30,FH21101008,Humidity,73,%,Good
2021-11-29 18:35,FH21101008,Humidity,74,%,Good
2021-11-29 18:40,FH21101008,Humidity,70,%,Good
2021-11-29 18:45,FH21101008,Humidity,74,%,Good
2021-11-29 18:50,FH21101008,Humidity,68,%,Good
2021-11-29 18:55,FH21101008,Humidity,71,%,Good
2021-11-29 19:00,FH21101008,Humidity,73,%,Good
2021-11-29 19:05,FH21101008,Humidity,74,%,Good
2021-11-29 19:10,FH21101008,Humidity,73,%,Good
2021-11-29 19:15,FH21101008,Humidity,72,%,Good
2021-11-29 19:20,FH21101008,Humidity,72,%,Good
2021-11-29 19:25,FH21101008,Humidity,71,%,Good
2021-11-29 19:30,FH21101008,Humidity,72,%,Good
2021-11-29 19:35,FH21101008,Humidity,68,%,Good
2021-11-29 19:40,FH21101008,Humidity,69,%,Good
2021-11-29 19:45,FH21101008,Humidity,75,%,Good
2021-11-29 19:50,FH21101008,Humidity,73,%,Good
2021-11-29 19:55,FH21101008,Humidity,75,%,Good
2021-11-29 20:00,FH21101008,Humidity,72,%,Good
2021-11-29 20:05,FH21101008,Humidity,70,%,Good
2021-11-29 20:10,FH21101008,Humidity,70,%,Good
2021-11-29 20:15,FH21101008,Humidity,72,%,Good
2021-11-29 20:20,FH21101008,Humidity,74,%,Good
2021-11-29 20:25,FH21101008,Humidity,73,%,Good
2021-11-29 20:30,FH21101008,Humidity,70,%,Good
2021-11-29 20:35,FH21101008,Humidity,69,%,Good
2021-11-29 20:40,FH21101008,Humidity,70,%,Good
2021-11-29 20:45,FH21101008,Humidity,72,%,Good
2021-11-29 20:50,FH21101008,Humidity,69,%,Good
2021-11-29 21:30,FH21101008,Humidity,73,%,Good
2021-11-29 21:35,FH21101008,Humidity,72,%,Good
2021-11-29 21:40,FH21101008,Humidity,71,%,Good
2021-11-29 21:45,FH21101008,Humidity,69,%,Good
2021-11-29 21:50,FH21101008,Humidity,70,%,Good
2021-11-29 21:55,FH21101008,Humidity,72,%,Good
2021-11-29 22:00,FH21101008,Humidity,70,%,Good
2021-11-29 22:05,FH21101008,Humidity,73,%,Good
2021-11-29 22:10,FH21101008,Humidity,73,%,Good
2021-11-29 22:15,FH21101008,Humidity,68,%,Good
2021-11-29 22:20,FH21101008,Humidity,69,%,Good
2021-11-29 22:25,FH21101008,Humidity,73,%,Good
2021-11-29 22:30,FH21101008,Humidity,70,%,Good
2021-11-29 22:35,FH21101008,Humidity,75,%,Good
2021-11-29 22:40,FH21101008,Humidity,73,%,Good
2021-11-29 22:45,FH21101008,Humidity,74,%,Good
2021-11-29 22:50,FH21101008,Humidity,71,%,Good
2021-11-29 22:55,FH21101008,Humidity,70,%,Good
2021-11-29 23:00,FH21101008,Humidity,72,%,Good
2021-11-29 23:05,FH21101008,Humidity,73,%,Good
2021-11-29 23:10,FH21101008,Humidity,70,%,Good
2021-11-29 23:15,FH21101008,Humidity,69,%,Good
2021-11-29 23:20,FH21101008,Humidity,73,%,Good
2021-11-29 23:25,FH21101008,Humidity,73,%,Good
2021-11-29 23:30,FH21101008,Humidity,71,%,Good
2021-11-29 23:35,FH21101008,Humidity,70,%,Good
2021-11-29 23:40,FH21101008,Humidity,70,%,Good
2021-11-29 23:45,FH21101008,Humidity,75,%,Good
2021-11-29 23:50,FH21101008,Humidity,69,%,Good
2021-11-29 23:55,FH21101008,Humidity,73,%,Good
2021-11-29 15:35,FH21101008,Light,467,Lux,Good
2021-11-29 15:40,FH21101008,Light,394,Lux,Good
2021-11-29 15:45,FH21101008,Light,405,Lux,Good
2021-11-29 15:50,FH21101008,Light,578,Lux,Good
2021-11-29 15:55,FH21101008,Light,380,Lux,Good
2021-11-29 16:00,FH21101008,Light,584,Lux,Good
2021-11-29 16:05,FH21101008,Light,315,Lux,Good
2021-11-29 16:10,FH21101008,Light,454,Lux,Good
2021-11-29 16:15,FH21101008,Light,560,Lux,Good
2021-11-29 16:20,FH21101008,Light,356,Lux,Good
2021-11-29 16:25,FH21101008,Light,534,Lux,Good
2021-11-29 16:30,FH21101008,Light,331,Lux,Good
2021-11-29 16:35,FH21101008,Light,477,Lux,Good
2021-11-29 16:40,FH21101008,Light,512,Lux,Good
2021-11-29 16:45,FH21101008,Light,543,Lux,Good
2021-11-29 16:50,FH21101008,Light,330,Lux,Good
2021-11-29 16:55,FH21101008,Light,482,Lux,Good
2021-11-29 17:00,FH21101008,Light,393,Lux,Good
2021-11-29 17:05,FH21101008,Light,391,Lux,Good
2021-11-29 17:10,FH21101008,Light,585,Lux,Good
2021-11-29 17:15,FH21101008,Light,323,Lux,Good
2021-11-29 17:20,FH21101008,Light,535,Lux,Good
2021-11-29 17:25,FH21101008,Light,518,Lux,Good
2021-11-29 17:30,FH21101008,Light,381,Lux,Good
2021-11-29 17:35,FH21101008,Light,471,Lux,Good
2021-11-29 17:40,FH21101008,Light,310,Lux,Good
2021-11-29 17:45,FH21101008,Light,393,Lux,Good
2021-11-29 17:50,FH21101008,Light,401,Lux,Good
2021-11-29 17:55,FH21101008,Light,557,Lux,Good
2021-11-29 18:00,FH21101008,Light,347,Lux,Good
2021-11-29 18:05,FH21101008,Light,450,Lux,Good
2021-11-29 18:10,FH21101008,Light,587,Lux,Good
2021-11-29 18:15,FH21101008,Light,350,Lux,Good
2021-11-29 18:20,FH21101008,Light,576,Lux,Good
2021-11-29 18:25,FH21101008,Light,412,Lux,Good
2021-11-29 18:30,FH21101008,Light,584,Lux,Good
2021-11-29 18:35,FH21101008,Light,339,Lux,Good
2021-11-29 18:40,FH21101008,Light,412,Lux,Good
2021-11-29 18:45,FH21101008,Light,526,Lux,Good
2021-11-29 18:50,FH21101008,Light,537,Lux,Good
2021-11-29 18:55,FH21101008,Light,387,Lux,Good
2021-11-29 19:00,FH21101008,Light,558,Lux,Good
2021-11-29 19:05,FH21101008,Light,588,Lux,Good
2021-11-29 19:10,FH21101008,Light,570,Lux,Good
2021-11-29 19:15,FH21101008,Light,576,Lux,Good
2021-11-29 19:20,FH21101008,Light,490,Lux,Good
2021-11-29 19:25,FH21101008,Light,415,Lux,Good
2021-11-29 19:30,FH21101008,Light,573,Lux,Good
2021-11-29 19:35,FH21101008,Light,532,Lux,Good
2021-11-29 19:40,FH21101008,Light,462,Lux,Good
2021-11-29 19:45,FH21101008,Light,591,Lux,Good
2021-11-29 19:50,FH21101008,Light,331,Lux,Good
2021-11-29 19:55,FH21101008,Light,375,Lux,Good
2021-11-29 20:00,FH21101008,Light,345,Lux,Good
2021-11-29 20:05,FH21101008,Light,463,Lux,Good
2021-11-29 20:10,FH21101008,Light,346,Lux,Good
2021-11-29 20:15,FH21101008,Light,405,Lux,Good
2021-11-29 20:20,FH21101008,Light,322,Lux,Good
2021-11-29 20:25,FH21101008,Light,352,Lux,Good
2021-11-29 20:30,FH21101008,Light,371,Lux,Good
2021-11-29 20:35,FH21101008,Light,493,Lux,Good
2021-11-29 20:40,FH21101008,Light,558,Lux,Good
2021-11-29 20:45,FH21101008,Light,538,Lux,Good
2021-11-29 20:50,FH21101008,Light,397,Lux,Good
2021-11-29 21:30,FH21101008,Light,460,Lux,Good
2021-11-29 21:35,FH21101008,Light,570,Lux,Good
2021-11-29 21:40,FH21101008,Light,397,Lux,Good
2021-11-29 21:45,FH21101008,Light,597,Lux,Good
2021-11-29 21:50,FH21101008,Light,460,Lux,Good
2021-11-29 21:55,FH21101008,Light,542,Lux,Good
2021-11-29 22:00,FH21101008,Light,536,Lux,Good
2021-11-29 22:05,FH21101008,Light,419,Lux,Good
2021-11-29 22:10,FH21101008,Light,502,Lux,Good
2021-11-29 22:15,FH21101008,Light,342,Lux,Good
2021-11-29 22:20,FH21101008,Light,336,Lux,Good
