Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-28 00:12,CH20211110,Humidity,44,%,good
2021-12-28 00:12,CH20211110,Humidity,43.9,%,good
2021-12-28 00:12,CH20211110,Humidity,43.8,%,good
2021-12-28 00:12,CH20211110,Humidity,43.7,%,good
2021-12-28 00:12,CH20211110,Humidity,43.7,%,good
2021-12-28 00:12,CH20211110,Humidity,43.5,%,good
2021-12-28 00:12,CH20211110,Humidity,43.5,%,good
2021-12-28 00:12,CH20211110,Humidity,43.5,%,good
2021-12-28 00:12,CH20211110,Humidity,43.4,%,good
2021-12-28 00:12,CH20211110,Humidity,43.2,%,good
2021-12-28 00:12,CH20211110,Humidity,43,%,good
2021-12-28 00:12,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.8,%,good
2021-12-28 01:01,CH20211110,Humidity,42.8,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.8,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.6,%,good
2021-12-28 01:01,CH20211110,Humidity,42.5,%,good
2021-12-28 01:01,CH20211110,Humidity,42.5,%,good
2021-12-28 01:01,CH20211110,Humidity,42.4,%,good
2021-12-28 01:01,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.5,%,good
2021-12-28 02:02,CH20211110,Humidity,42.6,%,good
2021-12-28 02:02,CH20211110,Humidity,42.6,%,good
2021-12-28 02:02,CH20211110,Humidity,42.7,%,good
2021-12-28 02:02,CH20211110,Humidity,42.9,%,good
2021-12-28 02:02,CH20211110,Humidity,43,%,good
2021-12-28 02:02,CH20211110,Humidity,43.2,%,good
2021-12-28 02:02,CH20211110,Humidity,43.1,%,good
2021-12-28 02:02,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43.3,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.8,%,good
2021-12-28 04:04,CH20211110,Humidity,42.8,%,good
